satisfaction with workload, satisfied with  work-life balance, mentally well and do not have anxiety ,satisfied with job profession ,satisfied  compensation ,family supports , satisfied with career and  opportunity,working hour, good relationship with peers , work is meaningful ,TOI
2,2,2,2,2,2,2,1,2,2,1
1,2,2,2,2,2,2,3,2,2,1
2,2,2,2,2,2,2,2,2,2,0
2,2,2,2,2,3,2,2,2,2,1
2,2,2,2,2,2,2,3,2,2,1
2,2,2,2,2,2,2,3,2,2,1
2,2,2,2,2,2,2,3,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,2,2,2,2,2,4,2,2,1
2,2,3,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,5,2,2,1
2,3,2,2,2,2,2,4,2,2,1
2,2,2,2,2,3,3,3,2,2,1
2,2,2,2,2,2,3,4,2,2,1
2,2,2,2,2,2,3,4,2,2,1
2,2,1,2,3,2,3,5,2,2,1
2,4,2,2,2,4,2,3,2,2,1
2,3,2,2,2,3,3,4,2,2,1
2,2,2,2,2,2,2,4,2,3,1
2,2,3,2,2,2,3,4,2,2,1
2,2,2,2,2,3,2,2,3,2,1
2,2,2,2,3,2,3,4,2,2,1
2,3,2,2,2,2,2,4,2,3,1
2,2,2,2,2,2,3,4,2,3,1
2,2,2,2,2,2,3,4,2,3,1
2,3,2,2,3,3,2,4,2,2,1
1,2,2,2,2,2,2,5,3,2,1
2,2,2,2,3,3,3,4,2,2,1
2,2,2,2,3,3,3,4,2,2,1
2,2,2,2,3,3,3,4,2,2,1
2,2,2,2,3,3,3,4,2,2,1
2,3,2,3,2,3,2,4,2,2,1
1,2,2,2,2,2,3,4,3,2,1
4,2,2,3,2,2,2,4,2,2,1
2,2,2,2,2,3,2,4,3,2,1
2,2,2,2,2,3,2,4,3,2,1
2,2,2,2,2,3,2,4,3,2,1
2,2,2,2,2,3,2,4,3,2,1
2,2,1,2,2,2,2,4,3,3,1
1,2,1,2,2,2,3,4,3,3,1
2,2,2,2,3,2,2,4,2,3,1
2,2,2,2,3,2,2,4,2,3,1
2,3,3,2,3,2,2,4,2,2,1
2,2,2,2,2,2,3,4,3,2,1
2,2,3,2,2,3,2,4,2,3,0
2,2,2,3,3,2,2,1,2,3,1
2,2,2,3,3,3,2,4,2,2,1
2,2,3,2,2,2,2,4,3,2,1
2,3,2,2,2,2,3,4,3,2,1
2,2,2,3,2,3,2,4,2,3,1
2,2,2,2,3,2,3,4,2,3,1
1,1,1,4,2,1,3,5,3,2,1
2,2,2,3,2,3,2,3,3,2,1
2,2,3,2,2,2,2,5,3,2,1
2,2,2,2,3,3,3,4,2,3,1
2,2,2,2,3,3,3,4,2,3,1
2,2,2,2,2,2,2,4,3,3,1
2,2,2,2,2,2,2,4,3,3,1
3,3,2,2,3,2,2,3,3,2,1
2,2,2,2,2,2,2,5,3,3,1
2,2,3,2,2,2,3,5,3,2,1
2,2,2,3,2,2,3,4,3,2,1
2,2,2,3,2,2,3,4,3,2,1
2,2,3,3,2,2,2,3,3,2,1
2,2,3,3,1,3,3,4,3,2,1
2,3,4,2,2,2,2,3,3,2,1
2,4,3,2,2,4,3,3,2,3,1
2,3,3,3,2,2,2,4,2,3,1
2,2,2,2,3,2,2,3,3,3,1
2,2,2,2,3,2,2,3,3,3,1
1,3,4,2,2,2,1,5,2,4,1
2,2,2,2,3,3,2,3,3,3,1
2,2,2,2,3,2,2,4,3,3,1
2,2,2,2,3,2,2,4,3,3,1
2,2,4,2,2,3,3,4,3,2,1
2,2,2,3,2,2,2,4,3,3,1
3,3,2,2,2,2,3,4,3,3,1
2,2,2,2,3,3,2,4,3,3,1
2,3,2,3,2,2,3,4,2,4,1
2,2,2,2,3,2,3,4,3,3,0
5,5,5,5,5,5,5,3,5,5,0
2,3,2,2,3,2,3,3,3,3,1
2,2,2,2,3,3,2,5,3,3,1
3,3,2,2,3,2,3,2,3,3,1
