satisfaction with workload, satisfied with  work-life balance, mentally well and do not have anxiety ,satisfied with job profession ,satisfied  compensation ,family supports , satisfied with career and  opportunity,working hour, good relationship with peers , work is meaningful ,TOI (turnover intention),Closeness Coefficient,Category
3,4,4,4,4,4,4,2,4,4,1,0.45363673,Behavioral
3,3,4,4,2,5,3,2,5,5,0,0.434007506,Behavioral
4,4,5,4,2,5,4,2,4,4,1,0.473385461,Behavioral
3,3,4,3,3,4,4,2,4,4,0,0.41912737,Behavioral
4,4,5,4,2,4,4,2,5,5,1,0.472966893,Behavioral
4,3,4,3,3,4,3,2,4,4,0,0.428705059,Behavioral
4,4,4,4,4,4,4,3,4,4,0,0.59852923,Behavioral
4,4,4,4,4,5,4,1,4,4,0,0.402166032,Behavioral
4,4,3,4,3,4,5,2,5,4,1,0.458758622,Behavioral
5,5,5,5,5,4,5,1,5,5,0,0.4619607,Behavioral
2,2,1,2,2,2,2,4,3,3,1,0.506567382,Behavioral
4,4,4,4,4,5,4,2,4,5,0,0.489357078,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
3,3,2,3,3,2,3,3,4,3,0,0.464489196,Behavioral
2,3,3,3,3,2,2,3,4,2,1,0.44615576,Behavioral
3,3,2,3,3,2,3,3,4,3,1,0.464489196,Behavioral
5,4,4,4,4,4,4,1,4,4,0,0.407086742,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
2,3,2,3,3,2,3,3,3,3,1,0.437963273,Behavioral
3,3,3,3,3,2,3,3,3,3,1,0.474197901,Behavioral
4,3,4,3,4,2,3,3,3,3,1,0.526554889,Behavioral
3,3,4,3,2,4,3,2,4,4,1,0.394487174,Behavioral
2,3,3,3,3,3,3,3,3,4,1,0.47527813,Behavioral
3,3,3,3,3,3,3,3,4,4,1,0.502680979,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
3,4,3,3,3,3,3,3,3,4,1,0.50766245,Behavioral
4,4,4,3,3,5,4,1,4,4,1,0.383981236,Behavioral
3,3,3,3,3,3,3,3,3,3,1,0.488475683,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,4,5,5,5,5,1,5,4,0,0.434813486,Behavioral
4,4,3,3,4,4,4,2,4,4,0,0.448560404,Behavioral
