satisfaction with workload, satisfied with  work-life balance, mentally well and do not have anxiety ,satisfied with job profession ,satisfied  compensation ,family supports , satisfied with career and  opportunity,working hour, good relationship with peers , work is meaningful ,TOI (turnover intention),Closeness Coefficient,Category
4,3,3,3,3,3,3,1,3,3,1,0.303123028,Distressed
3,4,3,4,4,4,4,1,4,4,0,0.357430124,Distressed
2,4,2,4,2,4,4,2,4,4,1,0.375783054,Distressed
2,2,2,2,2,3,2,2,3,2,1,0.263081877,Distressed
4,2,3,3,3,5,2,1,3,3,0,0.321423055,Distressed
3,3,2,3,3,3,3,2,3,3,1,0.339819168,Distressed
4,3,4,4,4,4,4,1,4,4,0,0.379350032,Distressed
4,4,3,4,4,4,4,1,4,4,1,0.375021602,Distressed
3,3,3,3,4,3,3,2,3,3,1,0.376889844,Distressed
3,3,3,3,3,3,3,1,4,3,1,0.285576586,Distressed
4,4,4,4,3,4,4,1,4,4,0,0.376289451,Distressed
4,4,4,4,3,4,4,1,4,4,0,0.376289451,Distressed
4,3,2,3,3,3,3,2,3,2,1,0.36084411,Distressed
4,4,4,4,3,4,4,1,4,4,0,0.376289451,Distressed
4,3,3,4,4,4,4,1,4,4,1,0.364491601,Distressed
4,4,4,2,4,4,3,1,4,4,0,0.369964115,Distressed
4,4,3,4,3,3,4,1,4,3,1,0.342305582,Distressed
4,4,3,4,4,3,3,1,4,3,1,0.347615018,Distressed
3,3,2,2,3,2,3,2,3,3,1,0.318685811,Distressed
4,4,2,3,4,4,4,1,4,4,0,0.356601539,Distressed
4,4,3,3,4,4,4,1,4,4,0,0.368425798,Distressed
4,4,3,5,4,3,4,1,4,4,0,0.371550967,Distressed
4,4,1,4,4,4,3,1,3,4,0,0.34009588,Distressed
4,4,4,4,4,3,3,1,4,4,0,0.368783271,Distressed
4,3,3,3,4,4,3,1,3,4,0,0.341854802,Distressed
4,4,4,4,3,3,4,1,3,4,0,0.358232806,Distressed
4,4,4,4,4,4,4,1,3,3,0,0.379113389,Distressed
4,4,3,5,3,4,4,1,5,4,0,0.377333225,Distressed
4,4,3,4,4,4,4,1,4,4,0,0.375021602,Distressed
4,4,3,4,4,4,4,1,4,3,0,0.369941266,Distressed
4,4,3,4,3,3,4,1,4,4,0,0.347975707,Distressed
4,4,4,4,4,3,4,1,4,3,0,0.37257872,Distressed
4,4,3,4,4,2,4,1,4,5,0,0.359899129,Distressed
4,5,4,4,3,4,3,1,4,4,0,0.379868084,Distressed
4,5,4,3,4,3,3,1,4,4,0,0.374792139,Distressed
4,5,4,3,3,4,4,1,4,4,0,0.381973488,Distressed
4,4,4,3,3,4,3,1,4,4,1,0.360615548,Distressed
4,4,3,4,4,4,3,1,4,3,0,0.360830535,Distressed
4,4,4,3,3,4,4,1,4,3,0,0.36456597,Distressed
4,4,3,4,4,4,4,1,3,3,0,0.36435765,Distressed
3,4,4,4,4,3,3,1,4,4,0,0.350652343,Distressed
4,4,3,3,3,3,4,1,4,3,0,0.334779045,Distressed
4,4,3,4,3,3,4,1,3,4,0,0.341839795,Distressed
3,4,3,3,4,4,4,1,4,4,1,0.350354623,Distressed
4,4,3,3,4,4,4,1,4,3,0,0.363240259,Distressed
4,3,4,4,4,4,4,1,3,4,1,0.373941843,Distressed
4,4,4,3,3,3,3,1,4,3,1,0.341744422,Distressed
4,4,3,3,4,3,4,1,3,4,0,0.349797456,Distressed
1,2,2,2,2,2,2,3,2,2,1,0.370856141,Distressed
2,2,2,2,2,2,2,1,2,2,1,0.142659381,Distressed
4,4,4,4,3,3,3,1,3,4,0,0.348597159,Distressed
2,2,2,2,2,2,2,2,2,2,0,0.238470745,Distressed
4,4,4,4,3,4,4,1,4,3,0,0.37123331,Distressed
4,4,4,4,4,3,3,1,4,4,0,0.368783271,Distressed
4,3,4,4,4,4,4,1,3,4,0,0.373941843,Distressed
4,4,2,3,2,3,4,1,2,4,1,0.304665965,Distressed
2,2,2,3,3,2,2,1,2,3,1,0.184899665,Distressed
2,2,2,2,2,3,2,2,2,2,1,0.257594734,Distressed
2,2,3,2,2,2,2,2,2,2,1,0.261514302,Distressed
4,4,4,4,4,3,3,1,3,4,0,0.36315315,Distressed
4,3,4,3,4,3,4,1,3,4,0,0.354611773,Distressed
4,3,4,3,3,4,4,1,4,4,0,0.358984082,Distressed
4,3,3,3,3,3,3,1,3,3,1,0.303123028,Distressed
3,4,3,4,4,4,4,1,4,4,0,0.357430124,Distressed
2,4,2,4,2,4,4,2,4,4,1,0.375783054,Distressed
2,2,2,2,2,3,2,2,3,2,1,0.263081877,Distressed
