satisfaction with workload, satisfied with  work-life balance, mentally well and do not have anxiety ,satisfied with job profession ,satisfied  compensation ,family supports , satisfied with career and  opportunity,working hour, good relationship with peers , work is meaningful ,TOI (turnover intention),Closeness Coefficient,Category
3,4,4,4,4,5,4,4,4,5,0,0.732566169,Enthusiastic
4,4,5,4,3,5,4,4,4,5,0,0.748930455,Enthusiastic
2,2,4,4,1,4,4,5,4,5,1,0.680286913,Enthusiastic
4,3,5,4,2,5,4,4,5,4,0,0.708566525,Enthusiastic
3,3,3,4,3,3,4,4,4,3,0,0.645349756,Enthusiastic
4,4,2,5,3,4,4,4,3,4,1,0.673913242,Enthusiastic
3,3,3,3,3,5,3,5,4,3,1,0.725737953,Enthusiastic
3,3,3,4,2,4,4,4,5,3,0,0.64428164,Enthusiastic
5,5,5,5,5,5,5,3,5,5,0,0.670802915,Enthusiastic
2,1,4,4,3,5,4,5,3,4,0,0.698706769,Enthusiastic
3,4,4,4,2,4,4,4,5,4,0,0.6809811,Enthusiastic
4,5,5,5,4,5,4,3,5,5,0,0.644152308,Enthusiastic
4,4,4,4,4,5,4,5,4,5,0,0.852669799,Enthusiastic
4,4,4,5,4,5,5,5,4,4,0,0.86303321,Enthusiastic
3,3,4,3,4,4,3,4,5,3,1,0.677811074,Enthusiastic
2,3,2,3,3,2,3,5,3,3,1,0.643504957,Enthusiastic
4,4,4,5,4,5,5,3,5,5,0,0.632139439,Enthusiastic
4,5,5,5,5,5,5,3,5,5,0,0.659621292,Enthusiastic
2,2,2,3,2,3,3,5,3,3,1,0.631216729,Enthusiastic
2,2,2,2,3,3,2,5,3,3,1,0.627171792,Enthusiastic
2,2,2,3,2,3,3,5,3,3,1,0.631216729,Enthusiastic
4,5,4,5,4,5,5,3,5,5,0,0.639848575,Enthusiastic
4,4,5,5,5,4,5,3,4,4,0,0.634771186,Enthusiastic
3,5,5,4,4,5,5,3,5,5,0,0.627482237,Enthusiastic
4,3,2,4,4,3,4,4,4,2,1,0.64786012,Enthusiastic
3,4,3,4,3,4,3,5,4,4,1,0.749532577,Enthusiastic
1,3,3,3,2,3,2,5,3,3,1,0.626813843,Enthusiastic
4,4,4,4,4,4,4,4,4,4,0,0.743620936,Enthusiastic
2,3,3,3,2,3,2,5,3,4,1,0.654124109,Enthusiastic
4,2,3,4,4,2,3,4,4,2,0,0.627616352,Enthusiastic
5,4,5,5,4,5,4,3,5,5,0,0.648888712,Enthusiastic
4,4,5,4,5,4,4,3,5,4,0,0.627117609,Enthusiastic
2,2,5,3,2,4,2,5,3,4,1,0.673373172,Enthusiastic
4,4,4,4,3,4,4,4,4,4,0,0.723296754,Enthusiastic
2,4,4,2,2,5,4,4,3,5,1,0.634721497,Enthusiastic
2,4,5,4,3,3,3,5,3,4,1,0.723588727,Enthusiastic
4,4,4,4,4,4,4,4,3,3,0,0.721824312,Enthusiastic
3,2,4,2,3,2,3,5,2,4,1,0.667367495,Enthusiastic
2,2,3,3,2,4,3,5,3,4,1,0.66279423,Enthusiastic
2,2,2,3,3,2,2,5,3,4,1,0.62876669,Enthusiastic
3,4,5,3,2,5,2,4,2,4,0,0.644514576,Enthusiastic
5,4,5,5,4,4,4,3,4,4,0,0.630816488,Enthusiastic
3,4,4,4,4,4,4,4,4,4,1,0.718207682,Enthusiastic
4,5,5,4,4,4,4,4,5,5,0,0.774522669,Enthusiastic
4,5,5,5,4,4,5,3,5,4,0,0.637314532,Enthusiastic
4,4,4,4,4,4,4,5,3,4,0,0.819565859,Enthusiastic
4,4,4,4,4,4,4,4,4,4,0,0.743620936,Enthusiastic
4,4,4,4,4,4,4,4,4,4,0,0.743620936,Enthusiastic
4,4,4,4,4,4,4,4,4,4,0,0.743620936,Enthusiastic
4,5,4,5,4,4,5,4,4,4,1,0.765677156,Enthusiastic
4,4,4,4,4,4,4,4,3,4,0,0.731975949,Enthusiastic
4,4,4,4,4,4,4,5,4,4,0,0.835589627,Enthusiastic
3,4,4,4,4,5,4,4,4,5,0,0.732566169,Enthusiastic
4,4,5,4,3,5,4,4,4,5,0,0.748930455,Enthusiastic
2,2,4,4,1,4,4,5,4,5,1,0.680286913,Enthusiastic
4,3,5,4,2,5,4,4,5,4,0,0.708566525,Enthusiastic
